N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),N_FacilitiesInApt,Size(sqf),SalePrice,HallwayType_mixed,HallwayType_terraced,TimeToSubway_10min~15min,TimeToSubway_15min~20min,TimeToSubway_5min~10min,TimeToSubway_no_bus_stop_nearby,SubwayStation_Banwoldang,SubwayStation_Chil-sung-market,SubwayStation_Daegu,SubwayStation_Kyungbuk_uni_hospital,SubwayStation_Myung-duk,SubwayStation_Sin-nam,SubwayStation_no_subway_nearby,Age
0.0,5.0,3.0,930.0,7,910,389380,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,4.0,1.0,605.0,5,1334,347787,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,5.0,3.0,930.0,7,910,263345,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,5.0,4.0,798.0,7,914,207079,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,5.0,3.0,930.0,7,644,149274,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,475.0,8,829,200000,False,True,False,False,False,False,False,False,False,False,False,True,False,16
5.0,6.0,5.0,536.0,4,644,85132,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,5.0,4.0,798.0,7,743,245132,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,1270.0,10,868,256637,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,2.0,2.0,184.0,5,910,207964,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,0.0,0.0,203.0,10,914,371681,False,True,False,False,False,False,True,False,False,False,False,False,False,10
0.0,4.0,1.0,605.0,5,1629,442477,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,4.0,1.0,605.0,5,1690,435398,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,5.0,4.0,798.0,7,572,75920,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,4.0,1.0,605.0,5,1273,280530,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,6.0,5.0,536.0,4,914,207964,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,4.0,1.0,605.0,5,1483,371681,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,6.0,5.0,536.0,4,914,163716,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,5.0,4.0,798.0,7,914,263716,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,400.0,7,644,286725,False,True,False,False,True,False,False,False,True,False,False,False,False,9
5.0,6.0,5.0,536.0,4,644,138938,True,False,False,True,False,False,False,False,False,False,True,False,False,31
1.0,4.0,1.0,218.0,1,156,57522,False,False,False,False,True,False,False,False,False,False,False,False,True,10
0.0,1.0,2.0,536.0,5,1412,302654,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,1.0,1.0,1321.0,10,910,391150,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,2.0,2.0,524.0,4,1394,215176,False,True,False,False,False,False,True,False,False,False,False,False,False,17
1.0,7.0,3.0,56.0,5,644,75221,True,False,False,True,False,False,False,True,False,False,False,False,False,27
0.0,4.0,1.0,605.0,5,1690,476106,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,6.0,5.0,536.0,4,914,241592,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,1.0,1.0,1321.0,10,914,411504,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,3.0,2.0,0.0,3,903,123008,False,False,False,False,False,False,False,False,False,True,False,False,False,46
5.0,5.0,4.0,798.0,7,572,115929,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,1270.0,10,868,269026,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,1270.0,10,1387,348672,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,2.0,2.0,524.0,4,1394,295575,False,True,False,False,False,False,True,False,False,False,False,False,False,17
2.0,5.0,0.0,76.0,3,676,61946,False,False,False,False,True,False,False,False,True,False,False,False,False,39
5.0,7.0,5.0,1174.0,9,914,309292,False,True,False,False,False,False,False,False,False,False,True,False,False,10
0.0,4.0,1.0,605.0,5,1690,442477,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,0.0,3,355,77876,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,1270.0,10,868,345132,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,5.0,3.0,930.0,7,910,263345,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,0.0,0.0,203.0,10,914,371681,False,True,False,False,False,False,True,False,False,False,False,False,False,10
0.0,3.0,2.0,1270.0,10,1387,323893,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,475.0,8,829,198230,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,2.0,2.0,524.0,4,1419,372566,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,5.0,4.0,798.0,7,914,164601,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,5.0,4.0,798.0,7,572,109734,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,2.0,2.0,524.0,4,1394,247787,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,6.0,5.0,536.0,4,914,158407,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,7.0,5.0,0.0,3,640,126548,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,475.0,8,829,172566,False,True,False,False,False,False,False,False,False,False,False,True,False,16
5.0,5.0,4.0,798.0,7,743,146017,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,5.0,4.0,798.0,7,1184,203539,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,5.0,4.0,798.0,7,914,161946,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,6.0,5.0,536.0,4,644,183628,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,914,195575,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,2.0,2.0,524.0,4,1394,309292,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,1270.0,10,868,331858,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,475.0,8,914,241592,False,True,False,False,False,False,False,False,False,False,False,True,False,16
5.0,6.0,5.0,536.0,4,914,138053,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,5.0,4.0,798.0,7,1184,218584,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,475.0,8,1167,380530,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,2.0,2.0,524.0,4,1419,277876,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,0.0,3,355,63274,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,5.0,3.0,930.0,7,910,258079,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,475.0,8,914,231415,False,True,False,False,False,False,False,False,False,False,False,True,False,16
5.0,5.0,4.0,798.0,7,572,141150,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,5.0,3.0,930.0,7,910,250176,False,True,False,False,False,False,False,False,False,True,False,False,False,11
1.0,4.0,1.0,218.0,1,135,56637,False,False,False,False,True,False,False,False,False,False,False,False,True,10
0.0,3.0,2.0,1270.0,10,868,242035,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,4.0,1.0,605.0,5,1629,432743,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,5.0,4.0,798.0,7,1184,274336,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,5.0,4.0,798.0,7,572,74256,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,2.0,2.0,524.0,4,1394,195575,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,6.0,5.0,536.0,4,644,84955,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,5.0,3.0,930.0,7,644,147761,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,5.0,3.0,930.0,7,644,143389,False,True,False,False,False,False,False,False,False,True,False,False,False,11
1.0,5.0,4.0,79.0,3,644,130973,True,False,False,True,False,False,False,False,False,False,True,False,False,32
1.0,5.0,4.0,79.0,3,644,79646,True,False,False,True,False,False,False,False,False,False,True,False,False,32
0.0,1.0,2.0,536.0,5,818,151327,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,4.0,1.0,605.0,5,1273,295460,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,108.0,2,206,72920,False,False,False,False,True,False,True,False,False,False,False,False,False,10
0.0,3.0,2.0,1270.0,10,1643,495575,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,5.0,4.0,79.0,3,644,89380,True,False,False,True,False,False,False,False,False,False,True,False,False,32
0.0,5.0,3.0,930.0,7,907,353982,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,5.0,4.0,798.0,7,914,277876,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,475.0,8,829,285840,False,True,False,False,False,False,False,False,False,False,False,True,False,16
5.0,5.0,4.0,798.0,7,914,280530,True,False,False,False,True,False,False,False,False,False,False,False,False,19
1.0,5.0,1.0,0.0,4,914,228318,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,3.0,2.0,1270.0,10,1643,469026,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,5.0,1.0,0.0,4,1377,324778,False,True,True,False,False,False,False,False,False,True,False,False,False,38
5.0,6.0,5.0,536.0,4,2337,243362,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,644,75221,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,3.0,2.0,1270.0,10,1387,343362,False,True,False,False,False,False,False,False,False,True,False,False,False,17
2.0,3.0,1.0,181.0,4,903,159292,False,True,False,False,False,False,False,False,False,False,True,False,False,18
0.0,3.0,2.0,1270.0,10,868,265486,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,1.0,2.0,536.0,5,914,318584,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,4.0,1.0,605.0,5,1629,371681,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,5.0,3.0,930.0,7,910,380530,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,0.0,0.0,203.0,10,1252,460176,False,True,False,False,False,False,True,False,False,False,False,False,False,10
1.0,5.0,2.0,18.0,3,451,53097,False,False,False,False,True,False,False,False,False,False,False,True,False,38
0.0,4.0,1.0,605.0,5,1334,376106,False,True,False,False,False,False,True,False,False,False,False,False,False,17
2.0,2.0,1.0,203.0,5,910,147141,False,True,False,False,False,True,False,False,False,False,False,False,True,15
2.0,5.0,0.0,76.0,3,587,66371,False,False,False,False,True,False,False,False,True,False,False,False,False,39
0.0,2.0,2.0,524.0,4,1394,256637,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,5.0,4.0,798.0,7,743,203539,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,1.0,2.0,536.0,5,818,181415,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,5.0,3.0,930.0,7,644,149274,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,475.0,8,914,334513,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,1.0,2.0,536.0,5,914,186725,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,5.0,4.0,798.0,7,572,153097,True,False,False,False,True,False,False,False,False,False,False,False,False,19
2.0,5.0,0.0,76.0,3,676,72566,False,False,False,False,True,False,False,False,True,False,False,False,False,39
0.0,2.0,2.0,524.0,4,1394,256637,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,5.0,4.0,798.0,7,914,168761,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,3.0,2.0,1270.0,10,1643,402654,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,1.0,2.0,536.0,5,1412,278761,False,True,False,False,False,False,False,False,False,False,False,True,False,18
1.0,2.0,2.0,184.0,5,811,252212,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,4.0,1.0,605.0,5,1483,370796,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,6.0,5.0,536.0,4,644,168141,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,1.0,2.0,536.0,5,2056,424778,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,4.0,1.0,605.0,5,1483,383185,False,True,False,False,False,False,True,False,False,False,False,False,False,17
1.0,2.0,2.0,184.0,5,910,251327,False,True,True,False,False,False,False,False,False,True,False,False,False,18
1.0,5.0,2.0,18.0,3,508,47787,False,False,False,False,True,False,False,False,False,False,False,True,False,38
5.0,6.0,5.0,536.0,4,644,77876,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,7.0,5.0,1174.0,9,644,262831,False,True,False,False,False,False,False,False,False,False,True,False,False,10
0.0,1.0,2.0,536.0,5,818,291150,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,5.0,4.0,798.0,7,743,143362,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,5.0,4.0,798.0,7,914,199115,True,False,False,False,True,False,False,False,False,False,False,False,False,19
1.0,5.0,4.0,79.0,3,644,159292,True,False,False,True,False,False,False,False,False,False,True,False,False,32
5.0,5.0,4.0,798.0,7,572,192035,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,7.0,5.0,0.0,3,576,44247,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,5.0,3.0,930.0,7,910,229106,False,True,False,False,False,False,False,False,False,True,False,False,False,11
2.0,3.0,1.0,181.0,4,903,205309,False,True,False,False,False,False,False,False,False,False,True,False,False,18
5.0,7.0,5.0,0.0,3,355,74336,False,False,True,False,False,False,False,False,False,False,True,False,False,32
5.0,5.0,4.0,798.0,7,572,75920,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,7.0,5.0,1174.0,9,910,349557,False,True,False,False,False,False,False,False,False,False,True,False,False,10
0.0,2.0,2.0,524.0,4,1394,241592,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,1270.0,10,868,238938,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,2.0,2.0,524.0,4,1366,374336,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,1174.0,9,640,265486,False,True,False,False,False,False,False,False,False,False,True,False,False,10
2.0,3.0,1.0,181.0,4,903,163716,False,True,False,False,False,False,False,False,False,False,True,False,False,18
5.0,5.0,4.0,798.0,7,572,74256,True,False,False,False,True,False,False,False,False,False,False,False,False,19
2.0,2.0,1.0,203.0,5,1160,193769,False,True,False,False,False,True,False,False,False,False,False,False,True,15
0.0,3.0,2.0,475.0,8,829,265486,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,5.0,3.0,930.0,7,910,362831,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,5.0,4.0,798.0,7,1184,186725,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,2.0,2.0,524.0,4,1103,243362,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,5.0,3.0,930.0,7,426,98477,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,7.0,5.0,0.0,3,355,34513,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,108.0,2,281,104424,False,False,False,False,True,False,True,False,False,False,False,False,False,10
0.0,1.0,1.0,1321.0,10,644,256637,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,2.0,2.0,524.0,4,1419,362831,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,1270.0,10,1643,442477,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,3.0,2.0,0.0,3,1327,169911,False,False,False,False,False,False,False,False,False,True,False,False,False,46
0.0,4.0,1.0,605.0,5,1273,337168,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,1174.0,9,1092,415929,False,True,False,False,False,False,False,False,False,False,True,False,False,10
1.0,2.0,2.0,184.0,5,811,169026,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,2.0,2.0,524.0,4,1103,228761,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,1174.0,9,907,337168,False,True,False,False,False,False,False,False,False,False,True,False,False,10
1.0,5.0,4.0,79.0,3,914,132743,True,False,False,True,False,False,False,False,False,False,True,False,False,32
0.0,4.0,1.0,605.0,5,1690,448672,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,0.0,3,644,53097,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,1270.0,10,868,199115,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,4.0,1.0,605.0,5,1690,462831,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,1270.0,10,868,181061,False,True,False,False,False,False,False,False,False,True,False,False,False,17
0.0,5.0,3.0,930.0,7,910,255442,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,3.0,2.0,475.0,8,914,178761,False,True,False,False,False,False,False,False,False,False,False,True,False,16
1.0,5.0,1.0,0.0,4,1131,170796,False,True,True,False,False,False,False,False,False,True,False,False,False,38
5.0,5.0,4.0,798.0,7,743,183185,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,5.0,3.0,930.0,7,644,149274,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,5.0,3.0,930.0,7,644,147761,False,True,False,False,False,False,False,False,False,True,False,False,False,11
2.0,2.0,1.0,203.0,5,1160,207079,False,True,False,False,False,True,False,False,False,False,False,False,True,15
1.0,2.0,2.0,184.0,5,811,274336,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,4.0,1.0,605.0,5,1690,422123,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,5.0,4.0,798.0,7,914,271681,True,False,False,False,True,False,False,False,False,False,False,False,False,19
1.0,7.0,3.0,56.0,5,558,78761,True,False,False,True,False,False,False,True,False,False,False,False,False,27
5.0,7.0,5.0,0.0,3,576,57964,False,False,True,False,False,False,False,False,False,False,True,False,False,32
2.0,3.0,1.0,181.0,4,903,298230,False,True,False,False,False,False,False,False,False,False,True,False,False,18
2.0,2.0,1.0,203.0,5,910,162831,False,True,False,False,False,True,False,False,False,False,False,False,True,15
1.0,5.0,4.0,79.0,3,914,119469,True,False,False,True,False,False,False,False,False,False,True,False,False,32
1.0,2.0,2.0,184.0,5,811,181415,False,True,True,False,False,False,False,False,False,True,False,False,False,18
5.0,5.0,4.0,798.0,7,914,183628,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,5.0,4.0,798.0,7,743,141592,True,False,False,False,True,False,False,False,False,False,False,False,False,19
1.0,2.0,2.0,184.0,5,910,300884,False,True,True,False,False,False,False,False,False,True,False,False,False,18
1.0,4.0,1.0,218.0,1,135,53274,False,False,False,False,True,False,False,False,False,False,False,False,True,10
5.0,6.0,5.0,536.0,4,914,132743,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,1.0,1.0,1321.0,10,910,392035,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,3.0,2.0,108.0,2,288,101769,False,False,False,False,True,False,True,False,False,False,False,False,False,10
2.0,2.0,1.0,203.0,5,910,198256,False,True,False,False,False,True,False,False,False,False,False,False,True,15
0.0,3.0,2.0,1270.0,10,1643,566371,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,5.0,1.0,0.0,4,1377,307079,False,True,True,False,False,False,False,False,False,True,False,False,False,38
2.0,3.0,1.0,181.0,4,857,254867,False,True,False,False,False,False,False,False,False,False,True,False,False,18
0.0,3.0,2.0,1270.0,10,1928,348283,False,True,False,False,False,False,False,False,False,True,False,False,False,17
1.0,5.0,1.0,0.0,4,914,157522,False,True,True,False,False,False,False,False,False,True,False,False,False,38
0.0,4.0,1.0,605.0,5,1690,422123,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,1.0,2.0,536.0,5,1149,291150,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,7.0,5.0,1174.0,9,1088,470796,False,True,False,False,False,False,False,False,False,False,True,False,False,10
0.0,3.0,2.0,0.0,3,903,222123,False,False,False,False,False,False,False,False,False,True,False,False,False,46
5.0,6.0,5.0,536.0,4,1288,185840,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,5.0,3.0,930.0,7,907,252814,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,4.0,1.0,605.0,5,1483,317699,False,True,False,False,False,False,True,False,False,False,False,False,False,17
5.0,7.0,5.0,0.0,3,355,38938,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,2.0,2.0,524.0,4,1103,227433,False,True,False,False,False,False,True,False,False,False,False,False,False,17
1.0,2.0,2.0,184.0,5,910,230088,False,True,True,False,False,False,False,False,False,True,False,False,False,18
0.0,3.0,2.0,400.0,7,644,283185,False,True,False,False,True,False,False,False,True,False,False,False,False,9
0.0,5.0,3.0,930.0,7,910,252814,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,2.0,2.0,524.0,4,1366,274336,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,108.0,2,288,107964,False,False,False,False,True,False,True,False,False,False,False,False,False,10
5.0,5.0,4.0,798.0,7,743,240707,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,5.0,4.0,798.0,7,914,168141,True,False,False,False,True,False,False,False,False,False,False,False,False,19
2.0,3.0,1.0,181.0,4,903,194690,False,True,False,False,False,False,False,False,False,False,True,False,False,18
0.0,2.0,2.0,524.0,4,1366,271681,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,1.0,2.0,536.0,5,1412,281415,False,True,False,False,False,False,False,False,False,False,False,True,False,18
5.0,7.0,5.0,0.0,3,640,66371,False,False,True,False,False,False,False,False,False,False,True,False,False,32
2.0,3.0,1.0,181.0,4,903,167964,False,True,False,False,False,False,False,False,False,False,True,False,False,18
0.0,1.0,2.0,536.0,5,1412,261061,False,True,False,False,False,False,False,False,False,False,False,True,False,18
2.0,3.0,1.0,181.0,4,903,271681,False,True,False,False,False,False,False,False,False,False,True,False,False,18
5.0,6.0,5.0,536.0,4,644,118584,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,644,115486,True,False,False,True,False,False,False,False,False,False,True,False,False,31
0.0,3.0,2.0,1270.0,10,1928,566371,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,6.0,5.0,536.0,4,1761,194690,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,7.0,5.0,1174.0,9,640,250442,False,True,False,False,False,False,False,False,False,False,True,False,False,10
2.0,2.0,1.0,203.0,5,910,174336,False,True,False,False,False,True,False,False,False,False,False,False,True,15
0.0,3.0,2.0,1270.0,10,868,307964,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,5.0,4.0,798.0,7,914,293805,True,False,False,False,True,False,False,False,False,False,False,False,False,19
5.0,6.0,5.0,536.0,4,1761,228318,True,False,False,True,False,False,False,False,False,False,True,False,False,31
5.0,6.0,5.0,536.0,4,644,82300,True,False,False,True,False,False,False,False,False,False,True,False,False,31
2.0,2.0,1.0,203.0,5,1160,355752,False,True,False,False,False,True,False,False,False,False,False,False,True,15
0.0,4.0,1.0,605.0,5,1483,348672,False,True,False,False,False,False,True,False,False,False,False,False,False,17
0.0,3.0,2.0,108.0,2,288,105752,False,False,False,False,True,False,True,False,False,False,False,False,False,10
0.0,1.0,2.0,536.0,5,1437,261061,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,1.0,2.0,536.0,5,1412,252212,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,5.0,3.0,930.0,7,910,292035,False,True,False,False,False,False,False,False,False,True,False,False,False,11
0.0,1.0,1.0,1321.0,10,910,413274,False,True,False,False,True,False,False,False,False,False,False,False,True,9
0.0,3.0,2.0,475.0,8,914,331858,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,3.0,2.0,475.0,8,829,215486,False,True,False,False,False,False,False,False,False,False,False,True,False,16
0.0,3.0,2.0,0.0,3,903,225663,False,False,False,False,False,False,False,False,False,True,False,False,False,46
5.0,7.0,5.0,0.0,3,576,61946,False,False,True,False,False,False,False,False,False,False,True,False,False,32
0.0,3.0,2.0,1270.0,10,868,194690,False,True,False,False,False,False,False,False,False,True,False,False,False,17
5.0,5.0,4.0,798.0,7,572,73840,True,False,False,False,True,False,False,False,False,False,False,False,False,19
0.0,2.0,2.0,524.0,4,1103,324778,False,True,False,False,False,False,True,False,False,False,False,False,False,17
1.0,7.0,3.0,56.0,5,914,90707,True,False,False,True,False,False,False,True,False,False,False,False,False,27
0.0,1.0,2.0,536.0,5,818,196460,False,True,False,False,False,False,False,False,False,False,False,True,False,18
0.0,3.0,2.0,0.0,3,903,212389,False,False,False,False,False,False,False,False,False,True,False,False,False,46
0.0,5.0,3.0,930.0,7,910,258079,False,True,False,False,False,False,False,False,False,True,False,False,False,11
5.0,6.0,5.0,536.0,4,914,110619,True,False,False,True,False,False,False,False,False,False,True,False,False,31
